   *(ORIGINAL DATA)=(TIDAL COMP.)+(TREND)+(RESPONSE)+(IRREGULAR)+(STEP)
     FORMAT IS 1H ,I5,5D13.5,        1.D30 AND -1.D30 ARE SPECIAL MARKS
     I    IRREGULAR    TREND        RESPONSE    TIDAL COMP.   ORIGINAL
     1  1.47229D-03  5.38733D+01  0.00000D+00  7.25220D-01  5.46000D+01
     2 -3.29902D-03  5.39160D+01  0.00000D+00  1.38734D+00  5.53000D+01
     3  2.01263D-03  5.39601D+01  0.00000D+00  1.83790D+00  5.58000D+01
     4 -2.74993D-02  5.40039D+01  0.00000D+00  2.02364D+00  5.60000D+01
     5  3.92655D-03  5.40475D+01  0.00000D+00  1.94861D+00  5.60000D+01
     6  6.95461D-02  5.40636D+01  0.00000D+00  1.66687D+00  5.58000D+01
     7  7.79997D-03  5.40288D+01  0.00000D+00  1.26336D+00  5.53000D+01
     8 -1.91199D-02  5.39894D+01  0.00000D+00  8.29735D-01  5.48000D+01
     9 -4.14267D-02  5.39992D+01  0.00000D+00  4.42248D-01  5.44000D+01
    10 -4.00688D-02  5.40931D+01  0.00000D+00  1.47008D-01  5.42000D+01
    11 -1.92174D-02  5.42644D+01  0.00000D+00 -4.52267D-02  5.42000D+01
    12 -1.12846D-02  5.44667D+01  0.00000D+00 -1.55388D-01  5.43000D+01
    13  9.21259D-02  5.46339D+01  0.00000D+00 -2.25999D-01  5.45000D+01
    14  1.86490D-02  5.46889D+01  0.00000D+00 -3.07536D-01  5.44000D+01
    15 -2.78405D-03  5.46467D+01  0.00000D+00 -4.43897D-01  5.42000D+01
    16  1.84120D-02  5.45409D+01  0.00000D+00 -6.59285D-01  5.39000D+01
    17 -5.35006D-02  5.44023D+01  0.00000D+00 -9.48794D-01  5.34000D+01
    18 -5.09314D-03  5.42802D+01  0.00000D+00 -1.27510D+00  5.30000D+01
    19  2.88843D-03  5.41703D+01  0.00000D+00 -1.57319D+00  5.26000D+01
    20  4.23839D-04  5.40633D+01  0.00000D+00 -1.76371D+00  5.23000D+01
    21  2.01106D-02  5.39527D+01  0.00000D+00 -1.77279D+00  5.22000D+01
    22  2.13358D-02  5.38324D+01  0.00000D+00 -1.55378D+00  5.23000D+01
    23 -1.23367D-02  5.37167D+01  0.00000D+00 -1.10432D+00  5.26000D+01
    24 -6.80267D-02  5.36407D+01  0.00000D+00 -4.72694D-01  5.31000D+01
    25  2.25492D-02  5.36277D+01  0.00000D+00  2.49738D-01  5.39000D+01
    26  1.84753D-02  5.36327D+01  0.00000D+00  9.48846D-01  5.46000D+01
    27 -4.82246D-02  5.36332D+01  0.00000D+00  1.51501D+00  5.51000D+01
    28  5.52950D-03  5.36254D+01  0.00000D+00  1.86908D+00  5.55000D+01
    29  6.38784D-02  5.35570D+01  0.00000D+00  1.97907D+00  5.56000D+01
    30 -4.45506D-02  5.33816D+01  0.00000D+00  1.86298D+00  5.52000D+01
    31  1.05808D-01  5.31162D+01  0.00000D+00  1.57799D+00  5.48000D+01
    32 -3.44152D-02  5.27337D+01  0.00000D+00  1.20076D+00  5.39000D+01
    33  8.16431D-02  5.23124D+01  0.00000D+00  8.05921D-01  5.32000D+01
    34 -1.45883D-01  5.18966D+01  0.00000D+00  4.49240D-01  5.22000D+01
    35 -7.13707D-02  5.16120D+01  0.00000D+00  1.59356D-01  5.17000D+01
    36  2.33055D-02  5.14384D+01  0.00000D+00 -6.17138D-02  5.14000D+01
    37  4.74364D-02  5.12843D+01  0.00000D+00 -2.31746D-01  5.11000D+01
    38  9.71544D-02  5.10815D+01  0.00000D+00 -3.78664D-01  5.08000D+01
    39 -7.83311D-02  5.08092D+01  0.00000D+00 -5.30905D-01  5.02000D+01
    40 -3.46327D-02  5.05439D+01  0.00000D+00 -7.09238D-01  4.98000D+01
    41  1.36949D-01  5.02835D+01  0.00000D+00 -9.20414D-01  4.95000D+01
    42 -1.38517D-01  4.99914D+01  0.00000D+00 -1.15292D+00  4.87000D+01
    43  7.63398D-03  4.97682D+01  0.00000D+00 -1.37579D+00  4.84000D+01
    44  6.64636D-02  4.95755D+01  0.00000D+00 -1.54193D+00  4.81000D+01
    45  1.42294D-02  4.93829D+01  0.00000D+00 -1.59709D+00  4.78000D+01
    46 -1.32587D-01  4.92263D+01  0.00000D+00 -1.49370D+00  4.76000D+01
    47  5.06006D-02  4.91559D+01  0.00000D+00 -1.20651D+00  4.80000D+01
    48  5.56887D-02  4.90893D+01  0.00000D+00 -7.45022D-01  4.84000D+01
