   *(ORIGINAL DATA)=(TIDAL COMP.)+(TREND)+(RESPONSE)+(IRREGULAR)+(STEP)
     FORMAT IS 1H ,I5,5D13.5,        1.D30 AND -1.D30 ARE SPECIAL MARKS
     I    IRREGULAR    TREND        RESPONSE    TIDAL COMP.   ORIGINAL
     1 -2.53540D-04  2.87104D+01  0.00000D+00  8.69749D-04  2.87110D+01
     2  4.97769D-04  2.87114D+01  0.00000D+00  1.21233D-04  2.87120D+01
     3 -1.36952D-04  2.87123D+01  0.00000D+00 -1.14482D-04  2.87120D+01
     4 -2.40840D-04  2.87131D+01  0.00000D+00  1.23625D-04  2.87130D+01
     5  3.29120D-04  2.87140D+01  0.00000D+00  6.38901D-04  2.87150D+01
     6 -6.40921D-05  2.87149D+01  0.00000D+00  1.13515D-03  2.87160D+01
     7 -2.12283D-04  2.87159D+01  0.00000D+00  1.30639D-03  2.87170D+01
     8  3.79450D-05  2.87170D+01  0.00000D+00  9.33502D-04  2.87180D+01
     9  1.00000D+30  2.87183D+01  0.00000D+00 -4.10825D-05  1.00000D+30
    10  1.00000D+30  2.87196D+01  0.00000D+00 -1.48409D-03  1.00000D+30
    11  1.00000D+30  2.87209D+01  0.00000D+00 -3.09800D-03  1.00000D+30
    12  1.00000D+30  2.87224D+01  0.00000D+00 -4.49695D-03  1.00000D+30
    13  1.00000D+30  2.87238D+01  0.00000D+00 -5.31002D-03  1.00000D+30
    14  1.00000D+30  2.87252D+01  0.00000D+00 -5.28202D-03  1.00000D+30
    15  1.00000D+30  2.87266D+01  0.00000D+00 -4.34325D-03  1.00000D+30
    16  1.00000D+30  2.87280D+01  0.00000D+00 -2.62980D-03  1.00000D+30
    17  1.00000D+30  2.87293D+01  0.00000D+00 -4.51031D-04  1.00000D+30
    18  1.00000D+30  2.87305D+01  0.00000D+00  1.78467D-03  1.00000D+30
    19  1.00000D+30  2.87316D+01  0.00000D+00  3.66476D-03  1.00000D+30
    20  1.00000D+30  2.87326D+01  0.00000D+00  4.86383D-03  1.00000D+30
    21  1.00000D+30  2.87334D+01  0.00000D+00  5.21062D-03  1.00000D+30
    22  1.00000D+30  2.87340D+01  0.00000D+00  4.71742D-03  1.00000D+30
    23  1.00000D+30  2.87345D+01  0.00000D+00  3.56779D-03  1.00000D+30
    24  1.00000D+30  2.87347D+01  0.00000D+00  2.06726D-03  1.00000D+30
    25  1.00000D+30  2.87347D+01  0.00000D+00  5.68585D-04  1.00000D+30
    26  1.00000D+30  2.87345D+01  0.00000D+00 -6.12274D-04  1.00000D+30
    27  1.00000D+30  2.87339D+01  0.00000D+00 -1.27041D-03  1.00000D+30
    28  2.73893D-04  2.87331D+01  0.00000D+00 -1.35901D-03  2.87320D+01
    29  7.87714D-05  2.87319D+01  0.00000D+00 -9.96275D-04  2.87310D+01
    30 -1.13580D-04  2.87305D+01  0.00000D+00 -4.28393D-04  2.87300D+01
    31 -1.57223D-04  2.87291D+01  0.00000D+00  4.38013D-05  2.87290D+01
    32  1.14169D-04  2.87277D+01  0.00000D+00  1.55875D-04  2.87280D+01
    33 -1.74146D-04  2.87264D+01  0.00000D+00 -2.36923D-04  2.87260D+01
    34 -1.24148D-04  2.87252D+01  0.00000D+00 -1.10919D-03  2.87240D+01
    35  7.79921D-05  2.87242D+01  0.00000D+00 -2.26426D-03  2.87220D+01
    36  1.87266D-04  2.87232D+01  0.00000D+00 -3.38456D-03  2.87200D+01
    37 -1.13188D-04  2.87222D+01  0.00000D+00 -4.11965D-03  2.87180D+01
    38 -1.66601D-04  2.87214D+01  0.00000D+00 -4.18637D-03  2.87170D+01
    39 -1.09498D-04  2.87206D+01  0.00000D+00 -3.45165D-03  2.87170D+01
    40  1.96810D-04  2.87198D+01  0.00000D+00 -1.97434D-03  2.87180D+01
    41  1.27527D-04  2.87189D+01  0.00000D+00  4.92384D-06  2.87190D+01
    42  8.36429D-05  2.87178D+01  0.00000D+00  2.12134D-03  2.87200D+01
    43  4.39063D-04  2.87166D+01  0.00000D+00  3.97341D-03  2.87210D+01
    44 -5.30708D-04  2.87153D+01  0.00000D+00  5.21624D-03  2.87200D+01
    45 -9.01815D-04  2.87143D+01  0.00000D+00  5.63702D-03  2.87190D+01
    46  1.34170D-03  2.87135D+01  0.00000D+00  5.19621D-03  2.87200D+01
    47 -5.06489D-04  2.87125D+01  0.00000D+00  4.02746D-03  2.87160D+01
    48 -9.58610D-04  2.87116D+01  0.00000D+00  2.39948D-03  2.87130D+01
    49  1.65684D-03  2.87107D+01  0.00000D+00  6.50478D-04  2.87130D+01
    50 -5.01369D-04  2.87094D+01  0.00000D+00 -8.89302D-04  2.87080D+01
    51 -2.23089D-05  2.87080D+01  0.00000D+00 -1.97018D-03  2.87060D+01
    52 -1.11777D-04  2.87066D+01  0.00000D+00 -2.47506D-03  2.87040D+01
    53  1.87882D-04  2.87053D+01  0.00000D+00 -2.43918D-03  2.87030D+01
    54  2.45402D-05  2.87040D+01  0.00000D+00 -2.03206D-03  2.87020D+01
    55 -4.66028D-04  2.87030D+01  0.00000D+00 -1.50510D-03  2.87010D+01
    56 -1.53280D-04  2.87023D+01  0.00000D+00 -1.11671D-03  2.87010D+01
    57  2.55598D-04  2.87018D+01  0.00000D+00 -1.05458D-03  2.87010D+01
    58  4.77267D-07  2.87014D+01  0.00000D+00 -1.37680D-03  2.87000D+01
    59  4.20861D-05  2.87009D+01  0.00000D+00 -1.99014D-03  2.86990D+01
    60  2.13082D-04  2.87005D+01  0.00000D+00 -2.67350D-03  2.86980D+01
    61  2.60814D-04  2.86999D+01  0.00000D+00 -3.14155D-03  2.86970D+01
    62 -1.52451D-04  2.86993D+01  0.00000D+00 -3.13041D-03  2.86960D+01
    63 -3.90851D-04  2.86989D+01  0.00000D+00 -2.48019D-03  2.86960D+01
    64 -5.83700D-04  2.86988D+01  0.00000D+00 -1.18960D-03  2.86970D+01
    65  5.04085D-04  2.86989D+01  0.00000D+00  5.73655D-04  2.87000D+01
    66  5.31909D-04  2.86990D+01  0.00000D+00  2.50943D-03  2.87020D+01
    67 -3.25198D-05  2.86988D+01  0.00000D+00  4.25721D-03  2.87030D+01
    68 -1.38395D-05  2.86985D+01  0.00000D+00  5.48289D-03  2.87040D+01
    69 -3.24415D-04  2.86984D+01  0.00000D+00  5.95634D-03  2.87040D+01
    70 -2.27773D-05  2.86984D+01  0.00000D+00  5.60052D-03  2.87040D+01
    71 -1.68872D-04  2.86987D+01  0.00000D+00  4.50200D-03  2.87030D+01
    72  5.25151D-05  2.86991D+01  0.00000D+00  2.88360D-03  2.87020D+01
    73  4.60523D-04  2.86995D+01  0.00000D+00  1.04864D-03  2.87010D+01
    74 -1.63282D-04  2.86999D+01  0.00000D+00 -6.88241D-04  2.86990D+01
    75 -2.12292D-04  2.87003D+01  0.00000D+00 -2.06772D-03  2.86980D+01
    76  1.07087D-04  2.87008D+01  0.00000D+00 -2.93580D-03  2.86980D+01
    77 -1.76353D-04  2.87014D+01  0.00000D+00 -3.26755D-03  2.86980D+01
    78  3.47924D-05  2.87021D+01  0.00000D+00 -3.16019D-03  2.86990D+01
    79  1.26436D-05  2.87028D+01  0.00000D+00 -2.79747D-03  2.87000D+01
    80  4.22957D-05  2.87034D+01  0.00000D+00 -2.39354D-03  2.87010D+01
    81  3.69610D-04  2.87038D+01  0.00000D+00 -2.12960D-03  2.87020D+01
    82  1.32367D-04  2.87040D+01  0.00000D+00 -2.09994D-03  2.87020D+01
    83 -8.32808D-04  2.87041D+01  0.00000D+00 -2.28250D-03  2.87010D+01
    84  1.33163D-04  2.87044D+01  0.00000D+00 -2.54385D-03  2.87020D+01
    85  1.03422D-03  2.87046D+01  0.00000D+00 -2.67903D-03  2.87030D+01
    86 -1.19925D-03  2.87047D+01  0.00000D+00 -2.47607D-03  2.87010D+01
    87  9.09774D-04  2.87049D+01  0.00000D+00 -1.78680D-03  2.87040D+01
    88 -4.42683D-04  2.87050D+01  0.00000D+00 -5.82383D-04  2.87040D+01
    89 -3.73453D-04  2.87053D+01  0.00000D+00  1.02396D-03  2.87060D+01
    90  3.46094D-04  2.87059D+01  0.00000D+00  2.79490D-03  2.87090D+01
    91  2.01511D-04  2.87064D+01  0.00000D+00  4.42291D-03  2.87110D+01
    92 -4.98796D-04  2.87069D+01  0.00000D+00  5.60456D-03  2.87120D+01
    93  3.75351D-04  2.87075D+01  0.00000D+00  6.11390D-03  2.87140D+01
    94  7.37854D-05  2.87081D+01  0.00000D+00  5.85472D-03  2.87140D+01
    95 -4.89348D-04  2.87086D+01  0.00000D+00  4.87881D-03  2.87130D+01
    96  4.33393D-04  2.87092D+01  0.00000D+00  3.36779D-03  2.87130D+01
    97 -2.48556D-04  2.87097D+01  0.00000D+00  1.58594D-03  2.87110D+01
    98  1.36739D-04  2.87100D+01  0.00000D+00 -1.81636D-04  2.87100D+01
    99  4.25195D-04  2.87103D+01  0.00000D+00 -1.68955D-03  2.87090D+01
   100 -5.30424D-04  2.87103D+01  0.00000D+00 -2.77762D-03  2.87070D+01
   101  1.72395D-05  2.87104D+01  0.00000D+00 -3.39287D-03  2.87070D+01
   102  1.83915D-04  2.87104D+01  0.00000D+00 -3.58547D-03  2.87070D+01
   103  1.52864D-04  2.87103D+01  0.00000D+00 -3.48175D-03  2.87070D+01
   104  4.88607D-05  2.87102D+01  0.00000D+00 -3.24152D-03  2.87070D+01
   105 -9.44638D-05  2.87101D+01  0.00000D+00 -3.00985D-03  2.87070D+01
   106 -3.24897D-04  2.87102D+01  0.00000D+00 -2.87485D-03  2.87070D+01
   107  2.74298D-04  2.87106D+01  0.00000D+00 -2.84191D-03  2.87080D+01
   108 -3.02048D-04  2.87111D+01  0.00000D+00 -2.83206D-03  2.87080D+01
   109 -2.56278D-04  2.87120D+01  0.00000D+00 -2.70631D-03  2.87090D+01
   110  3.45455D-04  2.87130D+01  0.00000D+00 -2.31085D-03  2.87110D+01
   111 -3.95507D-04  2.87139D+01  0.00000D+00 -1.53121D-03  2.87120D+01
   112  5.36194D-04  2.87148D+01  0.00000D+00 -3.39667D-04  2.87150D+01
   113  4.65784D-04  2.87154D+01  0.00000D+00  1.17939D-03  2.87170D+01
   114 -4.43635D-04  2.87156D+01  0.00000D+00  2.83559D-03  2.87180D+01
   115 -1.93727D-04  2.87158D+01  0.00000D+00  4.37045D-03  2.87200D+01
   116  4.44008D-04  2.87160D+01  0.00000D+00  5.51713D-03  2.87220D+01
   117 -2.61513D-04  2.87162D+01  0.00000D+00  6.06524D-03  2.87220D+01
   118 -3.70979D-04  2.87165D+01  0.00000D+00  5.91199D-03  2.87220D+01
   119  5.48764D-05  2.87169D+01  0.00000D+00  5.08538D-03  2.87220D+01
   120  2.03160D-05  2.87172D+01  0.00000D+00  3.73394D-03  2.87210D+01
   121  4.20934D-04  2.87175D+01  0.00000D+00  2.08738D-03  2.87200D+01
   122  1.16628D-04  2.87175D+01  0.00000D+00  4.00985D-04  2.87180D+01
   123 -2.12561D-04  2.87173D+01  0.00000D+00 -1.10058D-03  2.87160D+01
   124  1.27993D-04  2.87171D+01  0.00000D+00 -2.26555D-03  2.87150D+01
   125  3.17151D-05  2.87170D+01  0.00000D+00 -3.03469D-03  2.87140D+01
   126 -5.84307D-04  2.87170D+01  0.00000D+00 -3.43640D-03  2.87130D+01
   127  2.43965D-04  2.87173D+01  0.00000D+00 -3.56191D-03  2.87140D+01
   128 -2.00915D-04  2.87177D+01  0.00000D+00 -3.52880D-03  2.87140D+01
   129  2.29729D-04  2.87182D+01  0.00000D+00 -3.44277D-03  2.87150D+01
   130 -2.58018D-04  2.87186D+01  0.00000D+00 -3.36644D-03  2.87150D+01
   131  3.66750D-04  2.87189D+01  0.00000D+00 -3.30214D-03  2.87160D+01
   132  2.04025D-04  2.87190D+01  0.00000D+00 -3.19229D-03  2.87160D+01
   133  1.28803D-04  2.87188D+01  0.00000D+00 -2.93765D-03  2.87160D+01
   134 -9.50622D-05  2.87185D+01  0.00000D+00 -2.42988D-03  2.87160D+01
   135 -7.38077D-04  2.87183D+01  0.00000D+00 -1.59068D-03  2.87160D+01
   136  4.23314D-05  2.87184D+01  0.00000D+00 -4.07276D-04  2.87180D+01
   137  5.44403D-04  2.87184D+01  0.00000D+00  1.04645D-03  2.87200D+01
   138  1.30406D-04  2.87183D+01  0.00000D+00  2.61144D-03  2.87210D+01
   139 -5.06337D-05  2.87180D+01  0.00000D+00  4.06968D-03  2.87220D+01
   140  9.81673D-05  2.87177D+01  0.00000D+00  5.19007D-03  2.87230D+01
   141 -3.41694D-04  2.87176D+01  0.00000D+00  5.78224D-03  2.87230D+01
   142 -4.24956D-04  2.87177D+01  0.00000D+00  5.74296D-03  2.87230D+01
   143 -1.48076D-04  2.87181D+01  0.00000D+00  5.08157D-03  2.87230D+01
   144  5.95636D-04  2.87185D+01  0.00000D+00  3.91673D-03  2.87230D+01
   145 -9.17131D-05  2.87186D+01  0.00000D+00  2.44574D-03  2.87210D+01
   146  5.64198D-04  2.87185D+01  0.00000D+00  8.95850D-04  2.87200D+01
   147 -5.94391D-04  2.87181D+01  0.00000D+00 -5.27738D-04  2.87170D+01
   148  5.54972D-05  2.87176D+01  0.00000D+00 -1.68267D-03  2.87160D+01
   149  5.16347D-04  2.87170D+01  0.00000D+00 -2.50889D-03  2.87150D+01
   150 -1.59348D-04  2.87162D+01  0.00000D+00 -3.02412D-03  2.87130D+01
   151 -1.23566D-04  2.87154D+01  0.00000D+00 -3.29976D-03  2.87120D+01
   152 -4.29102D-04  2.87149D+01  0.00000D+00 -3.42674D-03  2.87110D+01
   153 -8.10775D-05  2.87146D+01  0.00000D+00 -3.48187D-03  2.87110D+01
   154  9.15475D-05  2.87144D+01  0.00000D+00 -3.50357D-03  2.87110D+01
   155  2.52013D-04  2.87142D+01  0.00000D+00 -3.48192D-03  2.87110D+01
   156  4.74703D-04  2.87139D+01  0.00000D+00 -3.36393D-03  2.87110D+01
   157 -3.17099D-04  2.87134D+01  0.00000D+00 -3.07150D-03  2.87100D+01
   158 -4.36493D-04  2.87130D+01  0.00000D+00 -2.52750D-03  2.87100D+01
   159 -8.85297D-06  2.87127D+01  0.00000D+00 -1.68399D-03  2.87110D+01
   160  1.11783D-04  2.87124D+01  0.00000D+00 -5.46104D-04  2.87120D+01
   161  1.42302D-04  2.87120D+01  0.00000D+00  8.14514D-04  2.87130D+01
   162  3.08302D-04  2.87114D+01  0.00000D+00  2.26163D-03  2.87140D+01
   163 -1.90202D-04  2.87106D+01  0.00000D+00  3.61342D-03  2.87140D+01
   164 -2.95469D-04  2.87096D+01  0.00000D+00  4.67621D-03  2.87140D+01
   165  1.16020D-04  2.87086D+01  0.00000D+00  5.28563D-03  2.87140D+01
   166  2.48041D-04  2.87074D+01  0.00000D+00  5.34479D-03  2.87130D+01
   167  1.54803D-04  2.87060D+01  0.00000D+00  4.84837D-03  2.87110D+01
   168 -3.27243D-04  2.87044D+01  0.00000D+00  3.88478D-03  2.87080D+01
   169 -5.11524D-04  2.87029D+01  0.00000D+00  2.61489D-03  2.87050D+01
   170  4.18640D-04  2.87013D+01  0.00000D+00  1.23310D-03  2.87030D+01
   171  5.47395D-04  2.86995D+01  0.00000D+00 -7.78814D-05  2.87000D+01
   172 -2.00632D-04  2.86974D+01  0.00000D+00 -1.18517D-03  2.86960D+01
   173 -1.04347D-04  2.86951D+01  0.00000D+00 -2.02604D-03  2.86930D+01
   174 -2.73988D-04  2.86929D+01  0.00000D+00 -2.60610D-03  2.86900D+01
